word,segmentation,segment_type,related_words,notes
incisor,in.cis.or,verified,in.cise,= engrave v. 雕刻
laurel,lau.rel,verified,lau.re.ate,Laura 劳拉。 荣誉获得者；桂冠诗人
archetype,arche.type,verified,,arche: 主要的 arch .angel 天使长 archaeology 考古学
cognomen,cogno.men,verified,cogni.tive,认知的 cogn .ate 同源的
pseudonym,pseudo.nym,verified,,
epithet,epi.thet,verified,,that
sobriquet,so.bri.quet,verified,bou.quet; ban.quet,['bæŋkwɪt]
appellation,ap.pell.ation,verified,,. appellant 上诉人。appellate 上诉的 联想：上诉时要叫名号以示郑重
gustation,gust.ation,verified,,gust 一阵大风；一阵爆发 gusto (做某事的)热情、兴致 savour v. 品尝 n.味道
relish,re.lish,verified,,relief
incense,in.cense,verified,cens.er; cens.us; cens.ure; v.n; in.cent.ive,想象：in着cense火 cense v.焚香 香炉 n. 人口普查；统计；（烙牛一样用火烙我们） . 公开批评 n.激励 刺激
muffler,muff.ler,verified,muff.le; muff.in; silenc.er,动词 muff v.弄砸；暖手用的毛皮筒子 松饼 枪支的消音器 消声器(57%)，围巾(28%)，头巾(9%)，厚手套(6%)
chassis,chass.is,verified,,
tenet,ten.et,verified,ten.ant; ten.or,ten- 抓住 =>你抓住不放的东西 =>信条 租户；佃户 v. 租赁 男高音；主旨、大意；
proverb,pro.verb,verified,,verb言语 epigram 一些有趣/聪明的话或者诗句，不一定是深刻真理。目的是 让人会心一笑 或惊讶。 aphorism 常带有智慧或哲理深度，不一定广为人知，通常是个人作者的原创表达。 鲁迅说过... saying 广为人知的 maxim 行为规则或道德指导的简洁原则，该做什么不该做什么，重点是“ 规则感 ” adage 广为人知， 世代相传的俗话 ，表达常见经验或真理，带有民间智慧的感觉 proverb 和adage很像，但更强调民间匿名来源和比喻。
dictum,dict.um,verified,pod.ium,讲坛 doctrine [dɒktrɪn] 教义、信条 。延伸为 主义
gnome,gn.o.me,verified,,这个o当然要发 [əʊ]
cartwright,cart.wright,verified,cart.ographer,[kɑ:ˈtɒgrəfə(r)] 地图制作者
cartographer,carto.graph.er,verified,,cart .wright 车匠
illustrator,il.lustr.ator,verified,il.lustr.ate; lustr.ous; il.lustr.ious,lust 画插图；用插图说明；=>表明了； 柔软光亮的 著名的受人尊重的
lampoon,lamp.oon,verified,buff.oon; harp.oon,-oon法语后缀 小丑 鱼叉 harp竖琴 sarcasm 讽刺 n.讽刺文章(60%)，v.嘲讽(40%)
percussionist,per.cussion.ist,verified,dis.cussion,
villain,vill.ain,verified,capt.ain; vill.age,-ain 如 villa 乡间别墅 乡村；
canary,can.ary,verified,,联想：生活在can笼中的金丝雀
maestro,mae.stro,verified,,
impresario,im.pres.ario,verified,im.pres.sive; scen.ario; loth.ario; ont.ario,感人的 剧本 mario 马里奥 专门勾引妇女的浪荡子 安大略湖
anhedonia,an.hedon.ia,verified,dys.phor.ia,hedonist [ˈhedənɪst] 病理性的心境恶劣
sanguine,san.guine,verified,sang.froid; con.san.guini.ty,n.冷静 n.血亲
consanguinity,con.san.gui.nity,verified,,
subordinate,sub.ordinate,verified,in.ordinate; co.ordinate,离谱的 ： 从属的 :使协调 subsidiary adj. 次要的；附属的
lessee,less.ee,verified,,lessor 出租人 lease 租约 来自 lasso [læˈsuː] 套索
lessor,less.or,verified,less.ee,lease n.租约 v.出租 出租人 承租人
respondent,re.spond.ent,verified,de.spond.ent; cor.respond.ent; respon.sive,沮丧的，失望的 记者 反应积极快速的 被告(48%)，应答者(21%)，回答的(13%)，应答的(11%)，感应的(7%)
defendant,defend.ant,verified,,respondent 调查问卷的回答者； 被告 ； plaintiff 原告
appellant,ap.pell.ant,verified,ap.pe; n.v; ap.pell.ation; re.pell.ent; com.pell.ing,a l . 上诉 。魅力。向权威部门呼吁 plea 请求。被告的请求（ 抗辩 ） 称呼，名头 令人讨厌的。防水剂、防虫剂 非常吸引人的；令人信服的；
attorney,at.torn.ey,verified,sol.icit.or,torn tear的过去分词
apologist,apo.lo.gist,verified,,
apology,a.polo.gy,verified,,
votary,vot.ary,verified,,vote
proponent,pro.pon.ent,verified,ex.pon.ent; op.pon.ent,支持者 倡导者 指数 反对者
exponent,ex.pon.ent,verified,,指数(92%)，倡导者(7%)，能手(1%)
protagonist,pro.tag.on.ist,verified,an.tag.on.ist,
adversary,ad.vers.ary,verified,ad.vers.ity; uni.vers.ity,逆境
gladiator,glad.iator,verified,glid.er,联想：供人取乐的人 glad 高兴 glade 林间的空地 滑翔机
mannequin,man.ne.quin,verified,man.acle,-quin 小词的后缀 harle. quin ['hɑːrləkwɪn] （传统戏剧中穿色彩斑斓菱形花纹服装的）滑稽角色 手铐，给...戴手铐
profligate,pro.flig.ate,verified,af.flict; in.flict; con.flict; n.v,"26384 flig=flict vt. 使遭受痛苦 . 冲突 g=ct , flig = flict 护卫舰 frigate"
prodigal,pro.dig.al,verified,pro.digy; in.dig.ent,神童 赤贫的
libertine,liber.tine,verified,liber.ate,
beneficiary,bene.fici.ary,verified,bene.fact.or,银行汇款会用到这个词 施主；银行汇款不会用这个词。
benefactor,bene.factor,verified,bene.ficiary,factor 因子 受益人 donor [ˈdəʊnə(r)] donator =donor 词频35000
novice,nov.ice,verified,,7697 新手( 92% )，新信徒( 8% ) nova neophyte 新信徒
sluggard,slug.gard,verified,slug.gish; brag.gart,slug 蛞蝓 缓慢的 自吹自擂者
rookie,roo.kie,verified,coo.kie,"来自recruit 俚语，-ie,表亲昵。 recruit -cru,生长，"
neophyte,neo.phyte,verified,xero.phyte; halo.phyte,18670 耐旱植物 ['hæləfaɪt]盐生植物 耐盐植物 halo [ˈheɪləʊ]（环绕圣人头上的）光环 新手；新信徒 （强调 新 ） proselyte 改宗者，新入教者 （强调 改 ）
fledgling,fledg.ling,verified,fledg.ed,羽翼已丰的 fledg是词根 区别： plume 羽毛
gosling,gos.ling,verified,,goose gander 雄鹅
stripling,strip.ling,verified,stripp.er; sap.ling,脱衣舞演员 小树苗
progenitor,pro.gen.itor,verified,pro.gen.y; gen.itals,（施加者） 祖先 （ee受者）子孙 生殖器
disciple,dis.cip.le,verified,dis.cip.line; ap.prent.ice; prent.ice,纪律 dis不.cip拿.line一线 [əˈprentɪs] = 正式用词 protege [ˈprɒtəʒeɪ] 被指导、提携的后辈
preceptor,pre.cept.or,verified,re.cept.or; pre.cept,受体；reception 前台 准则
solitary,solit.ary,verified,solid.ary; solid.arity,solid 团结的 团结
recluse,re.cluse,verified,,close solitary 更偏重“孤独的”这个形容词 hermit 隐士 隐修者 cloister 经院的回廊；经院生活
celibate,ce.lib.ate,verified,ce.lib.acy,[ˈselɪbəsi] 名词 与celebrate 祝贺，发音有相似
doctrinaire,doc.trin.aire,verified,doc.trine; question.naire; concession.aire; million.aire,教义。政纲。 特许经销商 百万富翁 didactic 道德说教的
harbinger,har.bing.er,verified,,
iconoclast,icono.clast,verified,biblio.clast,焚书者
maverick,mave.rick,verified,lime.rick,maven 内行、专家 marvel 奇迹 五行打油诗
pedant,ped.ant,verified,pend.ant; pen.nant,（项链上的）垂饰，饰坠 船上的三角信号旗 三角锦旗
dissident,dis.sid.ent,verified,n.v,dissenter n.持异议者 dissent . （对官方）异议
dissenter,dis.sent.er,verified,dis.sid.ent,
introvert,intro.vert,verified,extor.vert,
sapient,sapi.ent,verified,sap.ling,sap 植物的汁液；傻子 树苗；年轻人 homo sapiens 智人
savant,sav.ant,verified,ped.ant,救星 save 迂夫子
prodigy,pro.digy,verified,,prodigal 挥霍的 indigent adj. 贫困的； progeny （动物植物人的）后代
glutton,glut.ton,verified,glut.en,麸质.一吨 [ˈglu:tn] 麸质； glu. cose 葡萄糖
gourmand,gour.mand,verified,gour.met; repri.mand; n.v; com.mand; epi.cure,爱吃且吃得多的人 讲究饮食的人，美食家 .训斥 （正式）美食家
gourmet,gour.met,verified,gour.mand,爱吃且吃得多的人 讲究饮食的人，美食家 epicure（正式）美食家
epicure,epi.cure,verified,pro.cure; se.cure; obs.cure; gour.met; gour.mand; epi.curean,（53427）美食家 设法搞到 安全的；使安全 鲜为人知的；晦涩的 (8347)讲究饮食的人，美食家 爱吃且吃得多的人 adj. （尤指通过美食）享乐主义的；n. 享乐主义者；
lapidary,lap.id.ary,verified,di.lap.id.ated,(家具、建筑)年久失修的
bibliophile,biblio.phile,verified,paedo.phile,[ˈpi:dəfaɪl] bible
herdsman,herds.man,verified,wr.angler,泛指全球的牧人 北美专门的牛仔，对付马匹和牛
philistine,phil.ist.ine,verified,,
chandler,chand.ler,verified,chande.lier,船上用品杂货店 [.ʃændə'lɪr] 枝形吊灯
vintner,vint.ner,verified,vint.age,vine
vintage,vint.age,verified,vint.ner,葡萄酒业销售商、生产商； vine
peddler,pedd.ler,verified,todd.ler; pebb.le; huck.ster,刚会走路的孩子 鹅卵石 沿街叫卖的小贩，入门推销商； 强行推销的人
heckle,heck.le,verified,huckle.back,嗨！ 驼背的人 hustle 推搡 impugn v.质疑
flagellant,flag.ell.ant,verified,flag.ell.um,（生物）鞭毛、鞭状匍匐枝
detractor,de.tract.or,verified,de.rog.atory; pro.tract; pro.tract.or; con.tract,拖拉机 形容词 拖延；延长 量角器 收缩，合同
retinue,re.tinue,verified,con.tinue,联想：re来回，随从需要来回跑
chiropodist,chiro.pod.ist,verified,pod.iatry; chir.al; chiro.mancer,= chiropody 足病治疗学 ['tʃɪrəl] （化学）手性的 ['kaɪrəʊmænsə(r)]
aviatrix,avia.trix,verified,,aviator pilot
tanner,tan.ner,verified,tan.nin,单宁酸；鞣质(提取自树皮或水果，用于制革、酿酒等)
dietitian,diet.i.tian,verified,,. dietetics
agronomist,agro.nomist,verified,,. agronomy [ ə'ɡrɒnəmɪ ] 农学 agricultural [ˌæɡrɪ'kʌltʃərəl] 农业的
lionize,lion.ize,verified,leo.nine,像狮子一般的
stalwart,stal.wart,verified,th.wart; bul.wark,be thwarted 被阻止 stall 固定摊位 wart n. [皮肤] 疣 堡垒、防御者 steadfast adj. 坚定的不动摇的。强调不动摇。 staunch 坚定忠实；止血。强调忠实。 stalwart 坚定忠实不动摇，还为党干了很多事情 。
voluptuary,vol.up.tu.ary,verified,,
supplicant,sup.plic.ant,verified,ap.plic.ation; com.plic.ate,plic卷=> 跪地恳求的形象 申请 v.使复杂化 implore v.恳求 supplant [səˈplɑ:nt] vt. 代替；排挤掉
proletarian,pro.le.tar.ian,verified,ple.be,. ian 平民 词根：pro生殖。原意：只负责生育不需要承担纳税、作战义务的最底层阶级。 the proletariat and the bourgeoisie [ˌbʊəʒwɑːˈziː ]无产阶级和资产阶级
lackey,lack.ey,verified,,lack n.缺乏 v.缺乏 lanky 瘦长的
sheriff,she.riff,verified,cl.iff,悬崖 magistrate 法官序列中的一种地方官；
adjutant,ad.jut.ant,verified,,jut 伸出 jut out from/over
potentate,pot.ent.ate,verified,pot.ent.ial; im.pot.ent; port.ent,[pəˈtenʃl] 潜在可能的 [ˈɪmpətənt] 无能的，阳痿的 预兆；（尤指）恶兆
meretricious,mere.tric.ious,verified,,mere [mɪr] 仅仅；只不过； trick 花招
succubus,suc.cub.us,verified,in.cub.us; con.cub.ine,发音：suck you bus cub 梦魇；沉重的负担 [ˈkɒŋkjubaɪn]
incubus,in.cub.us,verified,suc.cub.us,( 47183 ) ( 51047 )（传说与睡眠中的男子交媾的）女妖精
concubine,con.cub.ine,verified,in.cub.us,一起躺 cub 幼兽。词根“躺”。 梦淫妖
ignoramus,ig.nor.amus,verified,ig.nor.ant; hippo.pot.amus,= ignorant person 无知识的 =>无礼的 河马
scrub,sc.rub,verified,sh.rub,rub 擦 只有灌木这一个意思 用力擦洗(51%)，矮树(38%)，渺小之物(11%)
poser,pos.er,verified,pos.eur,pose (法语形式）装腔作势的人 难题( 65% )，装腔作势的人( 35% )
clientele,client.ele,verified,,
constituent,con.stitu.ent,verified,con.stitute; con.stitu.tion,组成 宪法
denizen,deni.zen,verified,citi.zen,deny danny
multitude,multi.tude,verified,multi.ple,adj. 很多的 n.倍数 multiply v. 乘
populace,popul.ace,verified,popul.ist; popul.ar,常见：the ~ 民粹主义者 plebeian 平民（非贵族）
socialite,social.ite,verified,,-ite 石头 personage 要人或名人
laureate,laure.ate,verified,,laurel [ˈlɒrəl] 月桂树；桂冠；授予荣誉
venue,ven.ue,verified,re.ven.ue; a.ven.ue,ven+ue 收益； （演出等活动的）场所； 林荫大道
parvenu,par.venu,verified,re.ven.ue; ven.ue; a.ven.ue,但是 parvenu 没有e 收益； （演出等活动的）场所； 林荫大道
patrician,pa.tri.cian,verified,Pa.tri.ck; pa.tri.ot; pa.tri,- 父亲
magnate,magn.ate,verified,magn.itude; magn.ific.ent; magn.et,（橡胶、钢铁）大王 重要程度；[地震] 震级（星星）亮度 宏伟的，壮丽的 磁铁 magpie 喜鹊
tycoon,ty.coon,verified,co.coon; ra.coon; rac.coon,茧 浣熊= typhoon
executive,exe.cut.ive,verified,,
executioner,exe.cut.ion.er,verified,exe.cut.ion; exe.cute; exe.cut.or,n.处决 v.处决；执行法律；实施；做动作； 遗嘱执行人
emissary,e.miss.ary,verified,e.miss.ion; e.mit; en.voy,（光、热、气等的）发出，排放；排放物 emission的动词 使节 谈判代表
emperor,emp.er.or,verified,emp.ire; emp.ty,
imperative,im.per.ative,verified,im.peri.al; im.peri.ous,帝国的 盛气凌人的
mercenary,mer.cen.ary,verified,mer.ch; mer.cy,.ant 商人 批发商 犹指进出口批发商 慈悲
charlatan,char.la.tan,verified,sa.tan; ti.tan,都是a 撒旦 泰坦巨人
impostor,im.post.or,verified,im.post; im.pose,收关税（罕见词，日常说tariff） poser n. 难题；装腔作势者 v. 强加
martinet,mar.tin.et,verified,mar.tin,马丁
braggart,brag.gart,verified,nig.gard; slug.gard; lag.gard,只有这一个.gart，其他都是.gard brag v. (informal) 吹嘘 n.小气鬼 n.懒鬼 n.磨蹭鬼 区别：blowhard 意思一模一样，但是blowhard不是old-fashioned，是美国俗话。
ingrate,in.grate,verified,grate.ful,-grat- 词根：感激 grate 箅子、（萝卜）擦擦 感激的
prig,p.rig,verified,rig.or; rig.orous; p.rude,-rig- 严格 rig 操纵；钻井塔；装备； n.严格；艰苦 严格的 对性大惊小怪的人。
philanthropist,phil.anth.rop.ist,verified,mis.anth.rope; anth.rop.ology,慈善家 不愿与人交往的人 人类学
misanthrope,mis.anth.rope,verified,anth.rop; phil.anthrop.ist,-- 人类 rope 绳子 [ fɪˈlænθrəpɪst]
vagrant,vag.rant,verified,vag.ue,模糊的
arbiter,ar.bit.er,verified,ar.bitr.ator; ar.bitr.ary,仲裁人 武断的，随心所欲的
arbitrator,arbi.tra.tor,verified,trait.or; arbi.ter; arbi.trary,叛徒 trait 人的个性特征 (强调声望高)仲裁人 随意的，武断的
pacifier,paci.fier,verified,paci.fic,平静的；和平的； ocean
surrogate,sur.rog.ate,verified,pre.rog.ative; rog.ue; ar.rog.ant; de.rog.atory; n.v,= （替代上面的那个人）在下面说 delegate 代表 => 特权 小无赖；行为失常的 暴戾的 傲慢的自大的 毁谤的 .代理
presenter,pre.sent.er,verified,pre.sent; pre.sent.ation; dis.sent.er,在前面送出的人 礼物 展示 不肯送出的人
rucksack,ruck.sack,verified,ran.sack,sack 大袋子 get the sack 被开除 ruck 一大群人；起皱；rugby中的密集争球 v.洗劫
renegade,re.neg.ade,verified,neg.ative; re.leg.ate,negotiate v. 降级
apostate,apo.state,verified,pro.state; apo.strophe,前列腺 撇号(所有格符号) renegade 虽然是名词，常常当形容词
malcontent,mal.con.tent,verified,con.tent,n.内容=>目录 adj.满足的 v.使满足
herald,her.ald,verified,emer.ald; don.ald,祖母绿 唐纳德
gorilla,gor.illa,verified,van.illa; guerr.illa; bo.nobo; chim.pan.zee,-illa = -ella /-elle 种类名词的后缀 /bɒˈnəʊbəʊ/ 倭黑猩猩 /ˌtʃɪmpænˈziː/ 黑猩猩
guffaw,guff.aw,verified,,( 26794 ) guffy 笨狗高飞 gaffe [ɡæf] 社交场合的失礼 gaff 把大鱼拉出水面的钩子
chortle,chort.le,verified,chuck.le,short 低声轻笑
whimper,whim.per,verified,,whim 心血来潮 whip 鞭子 simper 傻笑 whimper whine wail
whine,wh.ine,verified,,"本意应该是一种哭声 whimper , whine , wail"
gaggle,ga.ggle,verified,go.ggles; goo.gle,[ɡɒɡlz] 护目镜 gander 雄鹅
kitten,kitt.en,verified,,kit
pullet,pull.et,verified,,pulley 滑轮组
taunt,t.aunt,verified,,aunt [ɑːnt] 阿姨 taut adj. 紧的； daunt 使胆怯 flaunt 炫耀 haunt 作鬼来纠缠 jaunt 短途旅游 taunt 奚落别人的失败
howler,howl.er,verified,,发音：好乐 => 言语中愚蠢的错误 howl嚎叫er者 没文化，只能嚎叫 hiatus 文章中的缺漏； （行动）间歇；
leviathan,le.via.than,verified,,
hedgehog,hedge.hog,verified,hege.mony,hedge 树篱 hog 猪 [hɪˈdʒeməni] 霸权
rhinoceros,rhino.cer.os,verified,cer.os,认证操作系统 rhino 简写
tigress,tig.ress,verified,tig.er,
chipmunk,chip.munk,verified,,monk mock 嘲讽
jaguar,ja.gu.ar,verified,,jugular 颈静脉
giraffe,gi.raffe,verified,graf.fiti,raffish （行为 衣着）不羁的 以下两个词拼写跟它不一样 graft 嫁接 涂鸦
flock,fl.ock,verified,bl.ock,lock
beverage,be.ver.age,verified,be.ver.ly,Hills [ˈbevəli] 比弗利山庄 b ea ver [ˈbi:və] 海狸（加拿大神兽）
cannibal,can.nib.al,verified,can.nab.is,大麻 nib 钢笔尖 nibble 细咬
predator,pred.ator,verified,dict.ator; conspir.ator,-ator 动作的发出者 prey n.被捕食者 v.捕猎
crustacean,crust.acean,verified,cara.pace,crust n.面包皮；酥皮；地壳 ocean n.甲壳
mollusc,moll.usc,verified,moll.ify; e.moll.ient,n.软体动物 v.安抚，安慰 n.润肤乳
hexapod,hexa.pod,verified,,hexagon 六角形 六边形 sextant 六分仪 insect 昆虫
reptile,rept.ile,verified,sur.rept.itious,crept creep 匍匐爬行的过去分词 秘密的；趁人不注意赶紧进行的
feline,fe.line,verified,,felicity 幸福快乐
mongrel,mong.rel,verified,dog.ge.rel; war.mong.er,杂种狗 歪诗；打油诗 -rel、-erel 贬义词后缀 战争贩子 蒙古人 Mongolian
ungulate,un.gu.late,verified,un.gu.ent,药膏
invertebrate,in.verte.brate,verified,vi.brate; cele.brate,['vaɪbreɪt] vt.使振动 ['selɪbreɪt] vt.庆祝 ungulate 有蹄类动物
mastodon,masto.don,verified,,masto- 乳房
vermin,ver.min,verified,,小版本 ve. nom [ˈvenəm] n.动物的毒液；人的恶意；
proboscis,pro.bo.scis,verified,,boss imbibe 喝;吸收（知识）
mosquito,mos.quit.o,verified,mos.que,清真寺
crayfish,cray.fish,verified,cray.on,cray 也是小龙虾。 粉笔 蜡笔 clay 泥土
flounder,fl.oun.der,verified,f.oun.der,创始人 finder 发现者
cuttlefish,cuttle.fish,verified,,scuttle 碎步疾跑、凿船 kettle 壶 squid 鱿鱼、枪乌贼
dinosaur,dino.saur,verified,cent.aur,不是eur; aur是所有恐龙的结尾 半人马。（不是射手座Sagittarius)
sparrow,spar.row,verified,,spare spark
thrush,th.rush,verified,th.rust; th.rash,鸫属：乌鸫、画眉等 [θrʌst] 推搡；冲力；刺；要点 vt.反复抽打 rash n.皮疹 n.一大片 adj.鲁莽的
petrel,petr.el,verified,petr.ol; petr.ol.eum; petr.ify,petr-石；联想海燕住在岩石间 （英国）汽油 [pəˈtrəʊliəm]石油 使石化
grouse,gr.ouse,verified,h.ouse; m.ouse; gr.oss,拟音词 [grəʊs] 总共、毛重 松鸡(31%)，牢骚(27%)，发牢骚(24%)，埋怨(18%)
quail,qu.ail,verified,,ail 病 quill 大翎毛
heron,her.on,verified,,helen 海伦
vanilla,van.illa,verified,gor.illa,大猩猩 -illa = -ella /-elle 种类名词的后缀
cactus,cac.tus,verified,cauc.us,[ˈkɔːkəs]政党骨干会议；党内的小圈子 仙人掌 calculus [ˈkælkjələs]微积分 calculate [ˈkælkjəleit] v. 计算
vegetation,vege.tation,verified,vege.table,flora 植物群落 。fauna 动物群落
sallow,sall.ow,verified,will.ow,柳树 pasty 馅饼；面色 苍白的，面糊色 的；
eucalyptus,eu.calyp.tus,verified,apo.calyp.se,
cypress,cy.press,verified,Cy.prus,['saiprәs]塞浦路斯
porpoise,por.po.ise,verified,,poise [pɔɪz] n.沉着自信； v.保持某种姿态 porcupine 豪猪
scorpion,scor.pion,verified,scor.ch; scour.ge,烧焦 鞭子
caterpillar,cater.pillar,verified,cater.er,cater 火山坑 炮弹坑 承包宴席的人 pillar 柱子 larva 昆虫的幼虫
gnarled,gnarl.ed,verified,,gnarl n.木瘤； snarl v.呲牙低吼。n. 缠结在一起的东西。联想： 跟纠缠在一起的蛇snake相似，所以sna开头
prickle,prick.le,verified,,prick v.戳，刺 n.鸡巴； 鸟人 pickle 腌酸黄瓜。泡菜。
foliage,foli.age,verified,plum.age,植物全身的叶子 全身的羽毛 folio 对开本（2开，很大幅的纸）；书的一页
enzyme,en.zyme,verified,zym.urgy,酿造学 zygote 受精卵 embryo 胚胎
plankton,plank.ton,verified,,plank 厚木板；政纲 ephemeron 蜉蝣；生命极短暂的东西
efflorescence,ef.flor.esc.ence,verified,ef.flor.esc.ent; flor.ence; esc.ent; esc.ence,形容词（但是很罕见） 弗洛伦萨 - 具有xx特征的 -esce 动词后缀; - 名词后缀;
xerophyte,xero.phyte,verified,xero.x; xero.graphy; neo.phyte,zero 零 施乐 静电复印术 新入教者 phyte=physics
heliotrope,helio.trope,verified,heli.copter,trope （词语的）转义 helium 氦 helix 螺旋 直升机 strophe 诗节 xerophyte
conifer,con.ifer,verified,Jenn.ifer,cone 锥形、松果
liana,li.ana,verified,,联想：发音李安，不是李安娜 liaison /liˈeɪzn/ 联络；联络人；
herbaceous,herb.ace.ous,verified,,herbivore 食草动物
chrysanthemum,chrys.anthem.um,verified,chrys.alis; chrys.ograph,anthem 国歌 茧、蛹（也是金色的） 金色墨水写的文件
carapace,cara.pace,verified,cara.van; cara.mel,pace:脚步 大篷车 焦糖 crustacean 甲壳纲动物
spawn,sp.awn,verified,,awn [ ɔːn ] 是一个常见的发音组合： pawn 卒子、典当 dawn 黎明；fawn小鹿；pawn卒子；lawn草地；yawn打哈欠 prawn 大虾对虾
gossamer,gos.sam.er,verified,,
fluff,flu.ff,verified,flu.ffy; flu.rry; flu.tter,"adj.毛茸茸的,蓬松的；空洞的 量词：一阵（小雨/窸窣...） v.颤动 拍动 fuzz n. 人脸上手上的绒毛；小波浪卷发； 模糊的东西"
plumage,plum.age,verified,,对应 foliage 植物的叶子 plume 羽毛；（量词）一缕（青烟） plum 李子 。 plumbing 下水管 plummet （股票）暴跌 区别：fledgling 羽翼未丰的
shovel,shov.el,verified,,shove [ʃʌv] v.推搡；胡乱一塞 spade 铁铲
trowel,tr.ow.el,verified,t.ow.el,毛巾
spatula,spat.ula,verified,,-ula 小词词缀 spade 铲子，黑桃 spat 口角；spit的过去式
mallet,mall.et,verified,,mall [mɔːl]购物广场
spindle,spind.le,verified,spind.ly,细长纤弱的 spin 旋转
pendulum,pend.ul.um,verified,,compendium （一本书中）对事实或图片做的汇编
pestle,pest.le,verified,epi.stle,pest 害虫 使徒书信（圣经）
kennel,kenn.el,verified,,
sluice,slu.ice,verified,,slut 放荡女人
throttle,thro.ttle,verified,,bottle
scissors,sciss.or.s,verified,,两个辅音都是双字母：sc ss 念[sisi]: cissi 如： narcissism 念[sik]：sicc 如： desiccant sciss 是词根“剪切” 如： abscissa scissors
sickle,sick.le,verified,,sick 病的
rivet,riv.et,verified,riv.er; velv.et,/ˈvɛlvɪt/ 天鹅绒
nippers,ni.pper.s,verified,ni.pple,乳头 剪 snip 动词
pincer,pin.cer,verified,,pin 大头钉 pinch 掐
lacework,lace.work,verified,,
tassel,tass.el,verified,,TASS 塔斯社 toss 投掷 Tess 苔丝（人名）(Theresa的昵称)
fascia,fa.sc.ia,verified,c.ia; fa.sc.ist,发音：费雪 简单讲一个意思：盖板 fa. 也可以这么写 法西斯主义者
kaleidoscope,ka.leido.scope,verified,,kali : 美丽；eido = idol 形象
marionette,marion.ette,verified,,Marie(Mary)
mosaic,mosa.ic,verified,,
parquet,par.quet,verified,ban.quet; bou.quet,park 宴会 花束
couch,c.ouch,verified,c.oach; cr.ouch; vi.n,ouch:哎哟 [kəʊtʃ] 教练 . 蹲； settee [seˈtiː] lounge 休息室 等候室
upholstery,up.holst.ery,verified,,holster [ˈhəʊlstə(r)] 手枪皮套
fabric,fab.ric,verified,fab.le,n.寓言故事 织物(82%)，结构(12%)，构造(6%)
crochet,cro.chet,verified,cli.ch; ca.chet; sa.chet,é 钩针编织 [ˈkæʃeɪ] 证明优良品质的印章 小袋
embroidery,em.broid.ery,verified,em.broid.er,动词 broil 烤、焙 braid 辫子
stencil,sten.cil,verified,pen.cil; o.graphy,sten n.速记
filigree,fili.gree,verified,fili.buster,gree 格力空调 glee n. 高兴(好事发生在自己，坏事发生在别人）
intellect,intel.lect,verified,intel.lect.ual; intell.ig.ent,知识分子 聪明的 intelligence 智力能力。情报。情报人员。 智力(77%)，理智(18%)，才智非凡的人(3%)，知识份子(2%)
meteorite,me.teor.ite,verified,me.teor; me.teor.ology,[ˈmiːtiə(r)] 流星 [ ˌmiːtiəˈrɒlədʒi ] 气象学 -teor- 一共就这两个词，不要跟 -terior混淆 -ite 石头 -ide 化合物
gravel,grav.el,verified,av.el,grave 坟 g 法官、拍卖师用的小锤 grit 沙子；决心
rubble,rubb.le,verified,,词源可能来自rub 擦。 rubber 橡皮 rubbish rabble 暴民 bubble 泡泡
cobblestone,cobble.stone,verified,cobbl.er,(15562) 厚皮水果馅饼、修鞋匠人、胡说废话 rubble 建筑物损坏后的碎石碎砖 pebble （ 11450 ）鹅卵石
flint,f.lint,verified,sp.lint,燧石 夹板 lint 线头、纱布 glint v.闪光 stint n.从事某项工作的时间；v.节约
rhinestone,rhine.stone,verified,,rhine 莱茵河 rhino 恐龙
amethyst,a.meth.yst,verified,,
turquoise,tur.quo.ise,verified,Tur.key,介于蓝绿之间，蓝绿混合而成 quote 引用 土耳其
emerald,e.mer.ald,verified,,
sapphire,sap.phire,verified,sap.ling,phire ~ fire sap 树液(38%)，汁液(31%)，精力(13%) 小树苗
plutolatry,pluto.latry,verified,ido.latry,
pragmatism,prag.mat.ism,verified,prag.mat.ic; pract.ice,prag 布拉格 prag = pract --
eclectic,ec.lect.ic,verified,ec.centr.ic,兼收并蓄的 与常人不同的古怪的；
jingoism,jingo.ism,verified,jing.le,
exhibitionism,exhi.bi.tion.ism,verified,,exposition (对某事)的说明；展销会 exhibition 展览品。展览 暴露癖(60%)，风头主义(40%)
probity,prob.ity,verified,prob.ation; ap.prob.ation; prob.ability; vera.city,试用期 缓刑期间 批准 n.可能性 有另一个意思：事情的真实性
veracity,ver.a.city,verified,ver.ify,velocity （物理）速度
ideology,ide.ology,verified,,idea
binomial,bi.nomi.al,verified,,比如 3x-2y polynomial 多项式 (a + b)^2 = a^2 + 2ab + b^2 叫二项式定理
impropriety,im.pro.priety,verified,pro.per; pro.priety,-iety 表性质、状态 合适的 [prəˈpraɪəti] 得体的举止
flippant,flip.pant,verified,un.fl; p.pable,flip （快速地）翻、拨动 a adj. 镇定的
demeanour,de.mean.our,verified,mis.de.mean.o; de.port.ment; com.port.ment; port.ent,外表或举止 (u)r 轻罪 (BrE) 仪态 行为举止 预兆（凶兆）
comport,com.port,verified,com.port.ment; de.port.ment; port.ent,n. （泛指）行为表现（与“仪态”的含义不同） n. ( BrE) （站与走的）仪态 预兆
deportment,de.port.ment,verified,com.port.ment,行为举止 demeanour 外表或举止
etiquette,eti.qu.ette,verified,,
